trialResp.keys,trialResp.corr,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate
,1,0,0,0,0,1,6,0.2,0,,7,001,2021-10-13_13h27.43.907,nBackAlpha3,2020.1.3,Win32,60
,0,0,1,1,1,1,6,0.2,0,space,7,001,2021-10-13_13h27.43.907,nBackAlpha3,2020.1.3,Win32,60
,1,0,2,2,2,1,2,0,0.2,,7,001,2021-10-13_13h27.43.907,nBackAlpha3,2020.1.3,Win32,60
,1,0,3,3,3,1,9,0.2,-0.2,,7,001,2021-10-13_13h27.43.907,nBackAlpha3,2020.1.3,Win32,60
