trialResp.keys,trialResp.corr,trialResp.rt,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate
space,0,1.0959,0,0,0,0,1,6,0.2,0,,,001,2025-03-01_15h46.27.968,nBackAlpha3,2020.1.3,Win32,60
,0,,0,1,1,1,1,6,0.2,0,space,,001,2025-03-01_15h46.27.968,nBackAlpha3,2020.1.3,Win32,60
,1,,0,2,2,2,1,2,0,0.2,,,001,2025-03-01_15h46.27.968,nBackAlpha3,2020.1.3,Win32,60
,1,,0,3,3,3,1,9,0.2,-0.2,,,001,2025-03-01_15h46.27.968,nBackAlpha3,2020.1.3,Win32,60
