trialResp.keys,trialResp.corr,trialResp.rt,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate
space,0,1.615785,0,0,0,0,1,6,0.2,0,,,001,2020-07-13_19h10.59.941,nBackAlpha3,2020.1.3,Win32,60
space,1,1.16699,0,1,1,1,1,6,0.2,0,space,,001,2020-07-13_19h10.59.941,nBackAlpha3,2020.1.3,Win32,60
space,0,0.82039,0,2,2,2,1,2,0,0.2,,,001,2020-07-13_19h10.59.941,nBackAlpha3,2020.1.3,Win32,60
,1,,0,3,3,3,1,9,0.2,-0.2,,,001,2020-07-13_19h10.59.941,nBackAlpha3,2020.1.3,Win32,60
,0,,0,4,4,4,1,9,0.2,-0.2,space,,001,2020-07-13_19h10.59.941,nBackAlpha3,2020.1.3,Win32,60
