trialResp.keys,trialResp.corr,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trialResp.rt
,0,0,37,37,37,1,7,-0.2,-0.2,space,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,0,0,38,38,38,1,7,-0.2,-0.2,space,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,1,0,39,39,39,1,6,0.2,0,,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,0,0,40,40,40,1,6,0.2,0,space,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,1,0,41,41,41,1,1,-0.2,0.2,,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,1,0,42,42,42,1,5,0,0,,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,1,0,43,43,43,1,3,0.2,0.2,,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,1,0,44,44,44,1,1,-0.2,0.2,,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,1,0,45,45,45,1,7,-0.2,-0.2,,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,1,0,46,46,46,1,3,0.2,0.2,,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,0,0,47,47,47,1,3,0.2,0.2,space,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,1,0,48,48,48,1,9,0.2,-0.2,,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,1,0,49,49,49,1,7,-0.2,-0.2,,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,1,0,50,50,50,1,5,0,0,,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,1,0,51,51,51,1,8,0,-0.2,,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,0,0,52,52,52,1,8,0,-0.2,space,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,1,0,53,53,53,1,7,-0.2,-0.2,,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,1,0,54,54,54,1,4,-0.2,0,,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,1,0,55,55,55,1,5,0,0,,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
,0,0,56,56,56,1,5,0,0,space,1,001,2023-03-12_20h27.28.639,nBackAlpha3,2020.1.3,Win32,60,
