trialResp.keys,trialResp.corr,trialResp.rt,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate
space,0,1.1688,0,0,0,0,1,6,0.2,0,,,001,2024-03-12_22h45.00.531,nBackAlpha3,2020.1.3,Win32,60
space,1,1.4786,0,1,1,1,1,6,0.2,0,space,,001,2024-03-12_22h45.00.531,nBackAlpha3,2020.1.3,Win32,60
space,0,0.5647,0,2,2,2,1,2,0,0.2,,,001,2024-03-12_22h45.00.531,nBackAlpha3,2020.1.3,Win32,60
,1,,0,3,3,3,1,9,0.2,-0.2,,,001,2024-03-12_22h45.00.531,nBackAlpha3,2020.1.3,Win32,60
