trialResp.keys,trialResp.corr,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trialResp.rt,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials2.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,1,,,,,,5,0,0,,,001,2021-06-22_18h05.59.321,nBackAlpha3,2020.1.3,Win32,60,,,,,,,0,37,37,37,1
,1,,,,,,1,-0.2,0.2,,,001,2021-06-22_18h05.59.321,nBackAlpha3,2020.1.3,Win32,60,,,,,,,0,38,38,38,1
space,0,,,,,,7,-0.2,-0.2,,,001,2021-06-22_18h05.59.321,nBackAlpha3,2020.1.3,Win32,60,0.517305,,,,,,0,39,39,39,1
,0,,,,,,5,0,0,space,,001,2021-06-22_18h05.59.321,nBackAlpha3,2020.1.3,Win32,60,,,,,,,0,40,40,40,1
space,0,,,,,,7,-0.2,-0.2,,,001,2021-06-22_18h05.59.321,nBackAlpha3,2020.1.3,Win32,60,0.741705,,,,,,0,41,41,41,1
,1,,,,,,3,0.2,0.2,,,001,2021-06-22_18h05.59.321,nBackAlpha3,2020.1.3,Win32,60,,,,,,,0,42,42,42,1
,1,,,,,,8,0,-0.2,,,001,2021-06-22_18h05.59.321,nBackAlpha3,2020.1.3,Win32,60,,,,,,,0,43,43,43,1
space,1,,,,,,7,-0.2,-0.2,space,,001,2021-06-22_18h05.59.321,nBackAlpha3,2020.1.3,Win32,60,1.105835,,,,,,0,44,44,44,1
space,0,,,,,,9,0.2,-0.2,,,001,2021-06-22_18h05.59.321,nBackAlpha3,2020.1.3,Win32,60,0.55098,,,,,,0,45,45,45,1
space,0,,,,,,9,0.2,-0.2,,,001,2021-06-22_18h05.59.321,nBackAlpha3,2020.1.3,Win32,60,0.53382,,,,,,0,46,46,46,1
,1,,,,,,3,0.2,0.2,,,001,2021-06-22_18h05.59.321,nBackAlpha3,2020.1.3,Win32,60,,,,,,,0,47,47,47,1
,1,,,,,,1,-0.2,0.2,,,001,2021-06-22_18h05.59.321,nBackAlpha3,2020.1.3,Win32,60,,,,,,,0,48,48,48,1
,1,,,,,,5,0,0,,,001,2021-06-22_18h05.59.321,nBackAlpha3,2020.1.3,Win32,60,,,,,,,0,49,49,49,1
space,1,,,,,,3,0.2,0.2,space,,001,2021-06-22_18h05.59.321,nBackAlpha3,2020.1.3,Win32,60,0.791265,,,,,,0,50,50,50,1
