trialResp.keys,trialResp.corr,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trialResp.rt,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials2.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,0,0,37,37,37,1,7,-0.2,-0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
,0,0,38,38,38,1,7,-0.2,-0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
space,0,0,39,39,39,1,6,0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.7178,,,,,,,,,,
,0,0,40,40,40,1,6,0.2,0,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
,1,0,41,41,41,1,1,-0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
,1,0,42,42,42,1,5,0,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
,1,0,43,43,43,1,3,0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
,1,0,44,44,44,1,1,-0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
,1,0,45,45,45,1,7,-0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
,1,0,46,46,46,1,3,0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
space,1,0,47,47,47,1,3,0.2,0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.8853,,,,,,,,,,
,1,0,48,48,48,1,9,0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
,1,0,49,49,49,1,7,-0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
,1,0,50,50,50,1,5,0,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
space,0,0,51,51,51,1,8,0,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.5662,,,,,,,,,,
space,1,0,52,52,52,1,8,0,-0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.9031,,,,,,,,,,
,1,0,53,53,53,1,7,-0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
,1,0,54,54,54,1,4,-0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
,1,0,55,55,55,1,5,0,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
,0,0,56,56,56,1,5,0,0,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
,1,0,57,57,57,1,2,0,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
,0,0,58,58,58,1,2,0,0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
,1,0,59,59,59,1,6,0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,,
space,0,,,,,,5,0,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.4712,0,0,0,0,1,,,,,
,1,,,,,,2,0,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,1,1,1,1,,,,,
,1,,,,,,6,0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,2,2,2,1,,,,,
space,0,,,,,,9,0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.5215,0,3,3,3,1,,,,,
,1,,,,,,3,0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,4,4,4,1,,,,,
space,1,,,,,,9,0.2,-0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.3402,0,5,5,5,1,,,,,
space,0,,,,,,7,-0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.4588,0,6,6,6,1,,,,,
space,0,,,,,,1,-0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.0831,0,7,7,7,1,,,,,
,1,,,,,,5,0,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,8,8,8,1,,,,,
,1,,,,,,7,-0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,9,9,9,1,,,,,
space,1,,,,,,5,0,0,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.3977,0,10,10,10,1,,,,,
space,0,,,,,,6,0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.3505,0,11,11,11,1,,,,,
space,0,,,,,,3,0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.0346,0,12,12,12,1,,,,,
space,1,,,,,,6,0.2,0,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.8231,0,13,13,13,1,,,,,
,1,,,,,,8,0,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,14,14,14,1,,,,,
space,0,,,,,,9,0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.2589,0,15,15,15,1,,,,,
,1,,,,,,9,0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,16,16,16,1,,,,,
space,0,,,,,,1,-0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.4867,0,17,17,17,1,,,,,
space,0,,,,,,3,0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.1924,0,18,18,18,1,,,,,
,1,,,,,,5,0,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,19,19,19,1,,,,,
space,1,,,,,,3,0.2,0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.4288,0,20,20,20,1,,,,,
space,0,,,,,,4,-0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.4673,0,21,21,21,1,,,,,
,1,,,,,,7,-0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,22,22,22,1,,,,,
space,1,,,,,,4,-0.2,0,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.0007,0,23,23,23,1,,,,,
space,0,,,,,,4,-0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.8878,0,24,24,24,1,,,,,
,1,,,,,,5,0,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,25,25,25,1,,,,,
space,0,,,,,,2,0,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.1325,0,26,26,26,1,,,,,
space,0,,,,,,6,0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.5597,0,27,27,27,1,,,,,
,1,,,,,,7,-0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,28,28,28,1,,,,,
,0,,,,,,6,0.2,0,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,29,29,29,1,,,,,
space,0,,,,,,8,0,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.304,0,30,30,30,1,,,,,
space,0,,,,,,2,0,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.8198,0,31,31,31,1,,,,,
,0,,,,,,8,0,-0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,32,32,32,1,,,,,
space,0,,,,,,9,0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.69,0,33,33,33,1,,,,,
space,0,,,,,,6,0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.9232,0,34,34,34,1,,,,,
,0,,,,,,9,0.2,-0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,35,35,35,1,,,,,
space,0,,,,,,4,-0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.6329,0,36,36,36,1,,,,,
,1,,,,,,3,0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,37,37,37,1,,,,,
space,0,,,,,,8,0,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.7624,0,38,38,38,1,,,,,
space,1,,,,,,3,0.2,0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.3679,0,39,39,39,1,,,,,
space,0,,,,,,1,-0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.2317,0,40,40,40,1,,,,,
,1,,,,,,4,-0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,41,41,41,1,,,,,
space,0,,,,,,2,0,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.7683,0,42,42,42,1,,,,,
space,1,,,,,,4,-0.2,0,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.2633,0,43,43,43,1,,,,,
space,0,,,,,,8,0,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.6323,0,44,44,44,1,,,,,
space,0,,,,,,5,0,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.7834,0,45,45,45,1,,,,,
space,0,,,,,,1,-0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.3689,0,46,46,46,1,,,,,
space,1,,,,,,5,0,0,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.6183,0,47,47,47,1,,,,,
space,0,,,,,,3,0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.9602,0,48,48,48,1,,,,,
space,0,,,,,,6,0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.8153,0,49,49,49,1,,,,,
space,0,,,,,,1,-0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.8586,0,50,50,50,1,,,,,
space,0,,,,,,3,0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.1699,0,51,51,51,1,,,,,
space,1,,,,,,1,-0.2,0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.2649,0,52,52,52,1,,,,,
space,0,,,,,,2,0,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.8689,0,53,53,53,1,,,,,
,0,,,,,,1,-0.2,0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,54,54,54,1,,,,,
space,0,,,,,,1,-0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.6835,0,55,55,55,1,,,,,
,1,,,,,,7,-0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,0,56,56,56,1,,,,,
space,0,,,,,,2,0,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.3352,0,57,57,57,1,,,,,
space,1,,,,,,7,-0.2,-0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.6995,0,58,58,58,1,,,,,
space,0,,,,,,6,0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.5183,0,59,59,59,1,,,,,
space,0,,,,,,4,-0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.5806,,,,,,0,0,0,0,1
space,0,,,,,,2,0,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.005,,,,,,0,1,1,1,1
space,0,,,,,,9,0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.7231,,,,,,0,2,2,2,1
,0,,,,,,4,-0.2,0,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,0,3,3,3,1
space,0,,,,,,3,0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.7036,,,,,,0,4,4,4,1
,0,,,,,,9,0.2,-0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,0,5,5,5,1
