trialResp.keys,trialResp.corr,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trialResp.rt
,1,0,0,0,0,1,6,0.2,0,,,001,2023-01-12_15h46.34.579,nBackAlpha3,2020.1.3,Linux x86_64,60,
space,1,0,1,1,1,1,6,0.2,0,space,,001,2023-01-12_15h46.34.579,nBackAlpha3,2020.1.3,Linux x86_64,60,0.3012
,1,0,2,2,2,1,2,0,0.2,,,001,2023-01-12_15h46.34.579,nBackAlpha3,2020.1.3,Linux x86_64,60,
