trialResp.keys,trialResp.corr,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trialResp.rt
,1,0,0,0,0,1,6,0.2,0,,xcv,001,2021-08-31_18h31.20.386,nBackAlpha3,2020.1.3,Win32,60,
,0,0,1,1,1,1,6,0.2,0,space,xcv,001,2021-08-31_18h31.20.386,nBackAlpha3,2020.1.3,Win32,60,
space,0,0,2,2,2,1,2,0,0.2,,xcv,001,2021-08-31_18h31.20.386,nBackAlpha3,2020.1.3,Win32,60,0.8886
space,0,0,3,3,3,1,9,0.2,-0.2,,xcv,001,2021-08-31_18h31.20.386,nBackAlpha3,2020.1.3,Win32,60,0.3341
,0,0,4,4,4,1,9,0.2,-0.2,space,xcv,001,2021-08-31_18h31.20.386,nBackAlpha3,2020.1.3,Win32,60,
