trialResp.keys,trialResp.corr,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate
,1,0,0,0,0,1,6,0.2,0,,sd,001,2022-04-25_18h51.45.756,nBackAlpha3,2020.1.3,Win32,60
,0,0,1,1,1,1,6,0.2,0,space,sd,001,2022-04-25_18h51.45.756,nBackAlpha3,2020.1.3,Win32,60
,1,0,2,2,2,1,2,0,0.2,,sd,001,2022-04-25_18h51.45.756,nBackAlpha3,2020.1.3,Win32,60
