trialResp.keys,trialResp.corr,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trialResp.rt,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials2.ran
space,1,0,21,21,21,1,1,-0.2,0.2,space,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,1.1171,,,,,
space,1,0,22,22,22,1,1,-0.2,0.2,space,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,1.9605,,,,,
,1,0,23,23,23,1,3,0.2,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
,1,0,24,24,24,1,2,0,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
,1,0,25,25,25,1,1,-0.2,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
,1,0,26,26,26,1,7,-0.2,-0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
space,1,0,27,27,27,1,7,-0.2,-0.2,space,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,0.6612,,,,,
,1,0,28,28,28,1,2,0,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
,1,0,29,29,29,1,6,0.2,0,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
,1,0,30,30,30,1,4,-0.2,0,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
space,1,0,31,31,31,1,4,-0.2,0,space,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,0.499,,,,,
,1,0,32,32,32,1,2,0,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
,1,0,33,33,33,1,9,0.2,-0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
space,1,0,34,34,34,1,9,0.2,-0.2,space,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,0.911,,,,,
,1,0,35,35,35,1,3,0.2,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
,1,0,36,36,36,1,7,-0.2,-0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
space,1,0,37,37,37,1,7,-0.2,-0.2,space,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,0.9251,,,,,
space,1,0,38,38,38,1,7,-0.2,-0.2,space,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,1.017,,,,,
,1,0,39,39,39,1,6,0.2,0,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
space,1,0,40,40,40,1,6,0.2,0,space,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,0.8503,,,,,
,1,0,41,41,41,1,1,-0.2,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
,1,0,42,42,42,1,5,0,0,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
,1,0,43,43,43,1,3,0.2,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
,1,0,44,44,44,1,1,-0.2,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
,1,0,45,45,45,1,7,-0.2,-0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
,1,0,46,46,46,1,3,0.2,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
