trialResp.keys,trialResp.corr,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate
,1,0,0,0,0,1,6,0.2,0,,CM,001,2025-07-30_18h26.49.774,nBackAlpha3,2020.1.3,MacIntel,60
,0,0,1,1,1,1,6,0.2,0,space,CM,001,2025-07-30_18h26.49.774,nBackAlpha3,2020.1.3,MacIntel,60
