trialResp.keys,trialResp.corr,trialResp.rt,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials2.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,1,0.0186,0,34,34,34,1,9,0.2,-0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.9142,0,35,35,35,1,3,0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.8701,0,36,36,36,1,7,-0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
,0,,0,37,37,37,1,7,-0.2,-0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,1,0.3061,0,38,38,38,1,7,-0.2,-0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.2515,0,39,39,39,1,6,0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,1,0.2923,0,40,40,40,1,6,0.2,0,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.5023,0,41,41,41,1,1,-0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.5076,0,42,42,42,1,5,0,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.4707,0,43,43,43,1,3,0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.7217,0,44,44,44,1,1,-0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.7856,0,45,45,45,1,7,-0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.8545,0,46,46,46,1,3,0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,1,0.3714,0,47,47,47,1,3,0.2,0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.3561,0,48,48,48,1,9,0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.7976,0,49,49,49,1,7,-0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.6691,0,50,50,50,1,5,0,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.6777,0,51,51,51,1,8,0,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,1,0.4795,0,52,52,52,1,8,0,-0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.6985,0,53,53,53,1,7,-0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.1197,0,54,54,54,1,4,-0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.4049,0,55,55,55,1,5,0,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,1,1.6394,0,56,56,56,1,5,0,0,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.6487,0,57,57,57,1,2,0,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,1,0.7883,0,58,58,58,1,2,0,0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.8949,0,59,59,59,1,6,0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.2169,,,,,,5,0,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,0,0,0,1,,,,,
space,0,1.3751,,,,,,2,0,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,1,1,1,1,,,,,
,1,,,,,,,6,0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,2,2,2,1,,,,,
,1,,,,,,,9,0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,3,3,3,1,,,,,
,1,,,,,,,3,0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,4,4,4,1,,,,,
,0,,,,,,,9,0.2,-0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,5,5,5,1,,,,,
,1,,,,,,,7,-0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,6,6,6,1,,,,,
,1,,,,,,,1,-0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,7,7,7,1,,,,,
space,0,0.3061,,,,,,5,0,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,8,8,8,1,,,,,
,1,,,,,,,7,-0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,9,9,9,1,,,,,
space,1,0.3669,,,,,,5,0,0,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,10,10,10,1,,,,,
