trialResp.keys,trialResp.corr,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trialResp.rt,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials2.ran
space,1,0,58,58,58,1,2,0,0.2,space,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,0.9509,,,,,
,1,0,59,59,59,1,6,0.2,0,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,,,,,
,1,,,,,,5,0,0,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,0,0,0,1
,1,,,,,,2,0,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,1,1,1,1
,1,,,,,,6,0.2,0,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,2,2,2,1
,1,,,,,,9,0.2,-0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,3,3,3,1
,1,,,,,,3,0.2,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,4,4,4,1
space,1,,,,,,9,0.2,-0.2,space,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,0.9839,0,5,5,5,1
,1,,,,,,7,-0.2,-0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,6,6,6,1
,1,,,,,,1,-0.2,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,7,7,7,1
,1,,,,,,5,0,0,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,8,8,8,1
,1,,,,,,7,-0.2,-0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,9,9,9,1
space,1,,,,,,5,0,0,space,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,1.2285,0,10,10,10,1
,1,,,,,,6,0.2,0,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,11,11,11,1
,1,,,,,,3,0.2,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,12,12,12,1
space,1,,,,,,6,0.2,0,space,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,0.6825,0,13,13,13,1
,1,,,,,,8,0,-0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,14,14,14,1
,1,,,,,,9,0.2,-0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,15,15,15,1
,1,,,,,,9,0.2,-0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,16,16,16,1
,1,,,,,,1,-0.2,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,17,17,17,1
,1,,,,,,3,0.2,0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,18,18,18,1
,1,,,,,,5,0,0,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,19,19,19,1
space,1,,,,,,3,0.2,0.2,space,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,0.7768,0,20,20,20,1
,1,,,,,,4,-0.2,0,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,21,21,21,1
,1,,,,,,7,-0.2,-0.2,,3242134,001,2021-12-28_10h33.07.564,nBackAlpha3,2020.1.3,Win32,60,,0,22,22,22,1
